"x","y","z","output"
-4.5,-4.5,-4.5,34944844.8145435
-1.5,-4.5,-4.5,33872362.341109
1.5,-4.5,-4.5,50611686.9355999
4.5,-4.5,-4.5,85170961.4846544
-4.5,-1.5,-4.5,9482971.95538526
-1.5,-1.5,-4.5,6558315.11516035
1.5,-1.5,-4.5,21285928.4411535
4.5,-1.5,-4.5,53701973.8480538
-4.5,1.5,-4.5,7312991.49573138
-1.5,1.5,-4.5,987769.172561454
1.5,1.5,-4.5,14956749.8779063
4.5,1.5,-4.5,46563828.9770079
-4.5,4.5,-4.5,80040868.9821006
-1.5,4.5,-4.5,11834104.1307958
1.5,4.5,-4.5,25227775.6611251
4.5,4.5,-4.5,56150219.9482935
-4.5,-4.5,-1.5,104760306.51992
-1.5,-4.5,-1.5,108280883.9804
1.5,-4.5,-1.5,130329150.279238
4.5,-4.5,-1.5,171009787.588412
-4.5,-1.5,-1.5,27008402.990078
-1.5,-1.5,-1.5,23482236.7451937
1.5,-1.5,-1.5,37852529.2147506
4.5,-1.5,-1.5,70111850.1026498
-4.5,1.5,-1.5,27635357.9054334
-1.5,1.5,-1.5,676353.218377463
1.5,1.5,-1.5,12137313.8403988
4.5,1.5,-1.5,41310753.7709415
-4.5,4.5,-1.5,267926116.926614
-1.5,4.5,-1.5,8763837.39277482
1.5,4.5,-1.5,17742049.52374
4.5,4.5,-1.5,46177659.7815923
-4.5,-4.5,1.5,427986136.733022
-1.5,-4.5,1.5,460304422.707918
1.5,-4.5,1.5,515680595.660318
4.5,-4.5,1.5,593422029.069965
-4.5,-1.5,1.5,133695028.817338
-1.5,-1.5,1.5,143334868.409834
1.5,-1.5,1.5,168861589.429506
4.5,-1.5,1.5,213899624.777479
-4.5,1.5,1.5,114304463.568129
-1.5,1.5,1.5,23162143.9641265
1.5,1.5,1.5,36291766.2908249
4.5,1.5,1.5,66939060.6655084
-4.5,4.5,1.5,883535854.74008
-1.5,4.5,1.5,15263466.6598176
